step,train_loss,val_loss,val_ppl,induction,entropy,phase_norm,steps_per_sec,tokens_per_sec,wall_time_sec
500,7.9954331340193745,6.5621097373962405,707.7633153120976,2.7390491688095153e-06,4.51658821105957,0.0,0.21632149824039945,14176.845708682818,2311.3745238780975
1000,6.181288385689259,5.74327091217041,312.0835411831154,3.658718520149762e-06,3.97418475151062,0.0,0.21532348984220842,14111.440230298971,4633.462097167969
1500,5.447709493339062,5.0734438133239745,159.72343898893905,4.95240832520949e-06,3.6585588455200195,0.0,0.21575261731352788,14139.563528259363,6950.931086540222
2000,5.0004462808668615,4.656735668182373,105.29181314244138,4.614294613958236e-06,3.5338799953460693,0.0,0.2159020144828432,14149.354421147613,9266.796462774277
2500,4.600913112580776,4.310623703002929,74.48693217872514,0.000117074725849875,3.4877583980560303,0.0,0.21591077326274424,14149.928436547207,11582.567892074585
3000,4.344016252011061,4.1175110816955565,61.40621685241912,0.00029227451489077794,3.3444876670837402,0.0,0.21578941720382816,14141.975245870082,13899.641669273376
3500,4.234293140918016,3.9999882793426513,54.597510110685995,0.0010613969204058549,3.4019479751586914,0.0,0.21599452078199885,14155.416913969077,16214.515204906464
4000,4.125441062211991,3.9248833656311035,50.64717051356468,0.0015647685831936542,3.3977293968200684,0.0,0.21581547860388328,14143.683205784095,18531.30917739868
4500,4.027611200392246,3.867346782684326,47.81535310947588,0.00016582299174672244,3.442936897277832,0.0,0.2156803246813616,14134.825758317715,20849.55494570732
5000,4.012948718518019,3.813721570968628,45.31878248589028,0.003991382621922668,3.3385989665985107,0.0,0.21593838575715213,14151.738048980722,23165.030252456665
5500,3.951814098149538,3.7548209857940673,42.726570462818245,0.0005356582725362102,3.4040911197662354,0.0,0.21565092033104802,14132.898714815563,25483.59211730957
6000,3.893885968118906,3.7232953262329103,41.40059804394744,0.00017277423746620002,3.3607356548309326,0.0,0.2158265008529939,14144.405559901808,27800.26777124405
6500,3.86813149407506,3.6829339408874513,39.76288505444655,0.0011347574025393214,3.3773887157440186,0.0,0.21574966341474572,14139.369941548775,30117.768489837646
7000,3.8405591818392275,3.673397979736328,39.38550990439503,0.00031681815810458147,3.4204928874969482,0.0,0.21567450143749353,14134.444126207576,32436.076851129532
7500,3.8044946688711643,3.6457685661315917,38.31220700379248,0.0005454350355975635,3.3378000259399414,0.0,0.21589106626270477,14148.63691859262,34752.05966901779
8000,3.8150049033463,3.6167071151733396,37.21482171681399,0.000290945176857349,3.369934320449829,0.0,0.21590013999594543,14149.23157477428,37067.945152044296
